word1,word2,label
hood,hard,unrelated
away,inside,other
possible,inadmissible,antonym
futile,essential,antonym
goon,hard,unrelated
wastefulness,conserve,antonym
energetic,lethargic,antonym
come,rise,unrelated
hope,despair,antonym
mine,unmin,unrelated
hardly,considerably,antonym
unfair,evenhandedly,antonym
difficult,simple,antonym
native,nonnative,antonym
unhappy,secure,antonym
til,period,other
portion,long,categorical
sufficiency,scarcity,antonym
spicy,TRUE,unrelated
FALSE,redress,unrelated
unfortunate,reserve,unrelated
aright,incorrect,antonym
exile,repatriate,synonym
disapprovingly,approvingly,antonym
easygoing,bad,unrelated
availability,unavailability,antonym
less,evenly,categorical
considerably,slightly,antonym
unnatural,properly,unrelated
sure,sole,unrelated
better,lonesome,unrelated
low,practically,unrelated
sleeveless,sleeved,antonym
impracticable,virtual,entailment
admittedly,hardly,unrelated
later,gold,unrelated
slight,excessively,antonym
attractive,repulsive,antonym
no,evening,unrelated
cher,gimcrack,entailment
practicable,terrified,unrelated
compression,decompression,antonym
right,distress,unrelated
persuasive,dissuasive,antonym
dramatise,reduce,unrelated
appropriate,unsound,unrelated
impossible,light,unrelated
ane,hing,unrelated
aright,horrible,unrelated
nonesuch,satisfactory,unrelated